,Brand,APPLE,ASUS,Avita,DELL,HP,Lenovo,MSI,acer
255,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
256,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
257,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
258,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
259,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
260,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
261,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
262,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
263,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
264,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
265,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
266,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
267,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
268,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
269,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
270,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
271,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
272,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
273,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
274,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
275,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
276,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
277,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
278,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
279,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
280,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
281,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
282,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
283,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
284,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
285,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
286,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
287,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
288,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
289,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
290,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
291,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
292,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
293,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
294,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
295,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
296,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
297,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
298,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
299,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
300,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
301,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
302,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
303,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
304,APPLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,APPLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
307,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
309,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
310,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
311,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
312,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
313,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
314,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
315,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
316,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
317,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
318,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
319,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
320,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
321,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
322,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
323,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
324,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
325,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
326,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
327,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
328,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
329,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
330,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
331,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
332,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
333,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
334,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
336,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
337,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
338,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
339,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
340,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
341,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
342,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
343,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
344,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
345,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
347,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
348,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
349,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
350,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
351,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
352,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
353,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
354,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
355,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
356,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
357,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
358,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
