,Weight,Casual,Gaming,ThinNlight
656,Casual,1.0,0.0,0.0
657,ThinNlight,0.0,0.0,1.0
658,Casual,1.0,0.0,0.0
659,Casual,1.0,0.0,0.0
660,Casual,1.0,0.0,0.0
661,ThinNlight,0.0,0.0,1.0
662,ThinNlight,0.0,0.0,1.0
663,Casual,1.0,0.0,0.0
664,Casual,1.0,0.0,0.0
665,Casual,1.0,0.0,0.0
666,ThinNlight,0.0,0.0,1.0
667,Casual,1.0,0.0,0.0
668,Casual,1.0,0.0,0.0
669,Casual,1.0,0.0,0.0
670,Casual,1.0,0.0,0.0
671,Casual,1.0,0.0,0.0
672,ThinNlight,0.0,0.0,1.0
673,ThinNlight,0.0,0.0,1.0
674,ThinNlight,0.0,0.0,1.0
675,Casual,1.0,0.0,0.0
676,ThinNlight,0.0,0.0,1.0
677,Casual,1.0,0.0,0.0
678,ThinNlight,0.0,0.0,1.0
679,Casual,1.0,0.0,0.0
680,Casual,1.0,0.0,0.0
681,ThinNlight,0.0,0.0,1.0
682,ThinNlight,0.0,0.0,1.0
683,Casual,1.0,0.0,0.0
684,Casual,1.0,0.0,0.0
685,Casual,1.0,0.0,0.0
686,ThinNlight,0.0,0.0,1.0
687,Casual,1.0,0.0,0.0
688,Casual,1.0,0.0,0.0
689,Casual,1.0,0.0,0.0
690,Casual,1.0,0.0,0.0
691,Casual,1.0,0.0,0.0
692,ThinNlight,0.0,0.0,1.0
693,ThinNlight,0.0,0.0,1.0
694,ThinNlight,0.0,0.0,1.0
695,ThinNlight,0.0,0.0,1.0
696,Casual,1.0,0.0,0.0
697,Casual,1.0,0.0,0.0
698,ThinNlight,0.0,0.0,1.0
699,Casual,1.0,0.0,0.0
700,ThinNlight,0.0,0.0,1.0
701,Casual,1.0,0.0,0.0
702,ThinNlight,0.0,0.0,1.0
703,Gaming,0.0,1.0,0.0
704,Casual,1.0,0.0,0.0
705,ThinNlight,0.0,0.0,1.0
706,Gaming,0.0,1.0,0.0
707,Casual,1.0,0.0,0.0
708,Casual,1.0,0.0,0.0
709,Casual,1.0,0.0,0.0
710,Casual,1.0,0.0,0.0
711,Casual,1.0,0.0,0.0
712,Gaming,0.0,1.0,0.0
713,Gaming,0.0,1.0,0.0
714,Casual,1.0,0.0,0.0
715,Casual,1.0,0.0,0.0
716,ThinNlight,0.0,0.0,1.0
717,ThinNlight,0.0,0.0,1.0
718,Gaming,0.0,1.0,0.0
719,Casual,1.0,0.0,0.0
720,Casual,1.0,0.0,0.0
721,Casual,1.0,0.0,0.0
722,Casual,1.0,0.0,0.0
