,Os,DOS,Mac,Windows
548,Windows,0.0,0.0,1.0
549,Windows,0.0,0.0,1.0
550,Windows,0.0,0.0,1.0
551,Windows,0.0,0.0,1.0
552,Windows,0.0,0.0,1.0
553,Windows,0.0,0.0,1.0
554,Windows,0.0,0.0,1.0
555,Windows,0.0,0.0,1.0
556,Windows,0.0,0.0,1.0
557,Windows,0.0,0.0,1.0
558,Windows,0.0,0.0,1.0
559,Windows,0.0,0.0,1.0
560,Windows,0.0,0.0,1.0
561,Windows,0.0,0.0,1.0
562,Windows,0.0,0.0,1.0
563,Windows,0.0,0.0,1.0
564,Windows,0.0,0.0,1.0
565,Windows,0.0,0.0,1.0
566,Windows,0.0,0.0,1.0
567,Windows,0.0,0.0,1.0
568,Windows,0.0,0.0,1.0
569,Windows,0.0,0.0,1.0
570,Windows,0.0,0.0,1.0
571,Windows,0.0,0.0,1.0
572,Windows,0.0,0.0,1.0
573,Windows,0.0,0.0,1.0
574,Windows,0.0,0.0,1.0
575,Windows,0.0,0.0,1.0
576,Windows,0.0,0.0,1.0
577,Windows,0.0,0.0,1.0
578,DOS,1.0,0.0,0.0
579,DOS,1.0,0.0,0.0
580,DOS,1.0,0.0,0.0
581,DOS,1.0,0.0,0.0
582,Mac,0.0,1.0,0.0
583,Mac,0.0,1.0,0.0
584,Mac,0.0,1.0,0.0
585,Mac,0.0,1.0,0.0
586,Mac,0.0,1.0,0.0
587,Mac,0.0,1.0,0.0
588,Mac,0.0,1.0,0.0
589,Mac,0.0,1.0,0.0
590,Mac,0.0,1.0,0.0
591,Mac,0.0,1.0,0.0
592,Mac,0.0,1.0,0.0
593,Mac,0.0,1.0,0.0
594,Mac,0.0,1.0,0.0
595,Mac,0.0,1.0,0.0
596,Mac,0.0,1.0,0.0
597,Mac,0.0,1.0,0.0
598,Mac,0.0,1.0,0.0
599,Mac,0.0,1.0,0.0
600,Mac,0.0,1.0,0.0
601,Windows,0.0,0.0,1.0
602,Windows,0.0,0.0,1.0
603,Windows,0.0,0.0,1.0
604,Windows,0.0,0.0,1.0
605,Windows,0.0,0.0,1.0
606,Windows,0.0,0.0,1.0
607,Windows,0.0,0.0,1.0
608,Windows,0.0,0.0,1.0
609,Windows,0.0,0.0,1.0
610,Windows,0.0,0.0,1.0
611,Windows,0.0,0.0,1.0
612,Windows,0.0,0.0,1.0
613,Windows,0.0,0.0,1.0
614,Windows,0.0,0.0,1.0
615,Windows,0.0,0.0,1.0
616,Windows,0.0,0.0,1.0
617,Windows,0.0,0.0,1.0
618,Windows,0.0,0.0,1.0
619,Windows,0.0,0.0,1.0
620,Windows,0.0,0.0,1.0
621,Windows,0.0,0.0,1.0
622,Windows,0.0,0.0,1.0
623,Windows,0.0,0.0,1.0
624,Windows,0.0,0.0,1.0
625,Windows,0.0,0.0,1.0
626,Windows,0.0,0.0,1.0
627,Windows,0.0,0.0,1.0
628,Windows,0.0,0.0,1.0
629,Windows,0.0,0.0,1.0
630,Windows,0.0,0.0,1.0
631,Windows,0.0,0.0,1.0
632,Windows,0.0,0.0,1.0
633,Windows,0.0,0.0,1.0
634,Windows,0.0,0.0,1.0
635,Windows,0.0,0.0,1.0
636,Windows,0.0,0.0,1.0
637,Windows,0.0,0.0,1.0
638,Windows,0.0,0.0,1.0
639,Windows,0.0,0.0,1.0
640,Windows,0.0,0.0,1.0
641,Windows,0.0,0.0,1.0
642,Windows,0.0,0.0,1.0
643,Windows,0.0,0.0,1.0
644,Windows,0.0,0.0,1.0
645,Windows,0.0,0.0,1.0
646,Windows,0.0,0.0,1.0
647,Windows,0.0,0.0,1.0
648,Windows,0.0,0.0,1.0
649,Windows,0.0,0.0,1.0
650,Windows,0.0,0.0,1.0
651,Windows,0.0,0.0,1.0
652,Windows,0.0,0.0,1.0
653,Windows,0.0,0.0,1.0
654,Windows,0.0,0.0,1.0
655,Windows,0.0,0.0,1.0
656,Windows,0.0,0.0,1.0
657,Windows,0.0,0.0,1.0
658,Windows,0.0,0.0,1.0
659,Windows,0.0,0.0,1.0
660,Windows,0.0,0.0,1.0
661,Windows,0.0,0.0,1.0
662,Windows,0.0,0.0,1.0
663,Windows,0.0,0.0,1.0
664,Windows,0.0,0.0,1.0
665,Windows,0.0,0.0,1.0
666,Windows,0.0,0.0,1.0
667,Windows,0.0,0.0,1.0
668,Windows,0.0,0.0,1.0
669,Windows,0.0,0.0,1.0
670,Windows,0.0,0.0,1.0
671,Windows,0.0,0.0,1.0
672,Windows,0.0,0.0,1.0
673,Windows,0.0,0.0,1.0
674,Windows,0.0,0.0,1.0
675,Windows,0.0,0.0,1.0
676,Windows,0.0,0.0,1.0
677,Windows,0.0,0.0,1.0
678,Windows,0.0,0.0,1.0
679,Windows,0.0,0.0,1.0
680,Windows,0.0,0.0,1.0
681,Windows,0.0,0.0,1.0
682,Windows,0.0,0.0,1.0
683,Windows,0.0,0.0,1.0
684,Windows,0.0,0.0,1.0
685,Windows,0.0,0.0,1.0
686,Windows,0.0,0.0,1.0
687,Windows,0.0,0.0,1.0
688,Windows,0.0,0.0,1.0
689,Windows,0.0,0.0,1.0
690,Windows,0.0,0.0,1.0
691,Windows,0.0,0.0,1.0
692,Windows,0.0,0.0,1.0
693,Windows,0.0,0.0,1.0
694,Windows,0.0,0.0,1.0
695,Windows,0.0,0.0,1.0
696,Windows,0.0,0.0,1.0
697,Windows,0.0,0.0,1.0
698,Windows,0.0,0.0,1.0
699,Windows,0.0,0.0,1.0
700,Windows,0.0,0.0,1.0
701,Windows,0.0,0.0,1.0
702,Windows,0.0,0.0,1.0
703,Windows,0.0,0.0,1.0
704,Windows,0.0,0.0,1.0
705,Windows,0.0,0.0,1.0
706,Windows,0.0,0.0,1.0
707,Windows,0.0,0.0,1.0
708,Windows,0.0,0.0,1.0
709,Windows,0.0,0.0,1.0
710,Windows,0.0,0.0,1.0
711,Windows,0.0,0.0,1.0
712,Windows,0.0,0.0,1.0
713,Windows,0.0,0.0,1.0
714,Windows,0.0,0.0,1.0
715,Windows,0.0,0.0,1.0
716,Windows,0.0,0.0,1.0
717,Windows,0.0,0.0,1.0
718,Windows,0.0,0.0,1.0
719,Windows,0.0,0.0,1.0
720,Windows,0.0,0.0,1.0
721,Windows,0.0,0.0,1.0
722,Windows,0.0,0.0,1.0
723,Windows,0.0,0.0,1.0
724,Windows,0.0,0.0,1.0
725,Windows,0.0,0.0,1.0
726,Windows,0.0,0.0,1.0
727,Windows,0.0,0.0,1.0
728,Windows,0.0,0.0,1.0
729,Windows,0.0,0.0,1.0
730,Windows,0.0,0.0,1.0
731,Windows,0.0,0.0,1.0
732,Windows,0.0,0.0,1.0
733,Windows,0.0,0.0,1.0
