,Processor_brand,AMD,Intel,M1
474,Intel,0.0,1.0,0.0
475,Intel,0.0,1.0,0.0
476,Intel,0.0,1.0,0.0
477,Intel,0.0,1.0,0.0
478,Intel,0.0,1.0,0.0
479,Intel,0.0,1.0,0.0
480,Intel,0.0,1.0,0.0
481,Intel,0.0,1.0,0.0
482,Intel,0.0,1.0,0.0
483,Intel,0.0,1.0,0.0
484,Intel,0.0,1.0,0.0
485,Intel,0.0,1.0,0.0
486,Intel,0.0,1.0,0.0
487,Intel,0.0,1.0,0.0
488,Intel,0.0,1.0,0.0
489,Intel,0.0,1.0,0.0
490,Intel,0.0,1.0,0.0
491,Intel,0.0,1.0,0.0
492,Intel,0.0,1.0,0.0
493,Intel,0.0,1.0,0.0
494,Intel,0.0,1.0,0.0
495,Intel,0.0,1.0,0.0
496,Intel,0.0,1.0,0.0
497,Intel,0.0,1.0,0.0
498,Intel,0.0,1.0,0.0
499,Intel,0.0,1.0,0.0
500,Intel,0.0,1.0,0.0
501,Intel,0.0,1.0,0.0
502,Intel,0.0,1.0,0.0
503,Intel,0.0,1.0,0.0
504,Intel,0.0,1.0,0.0
505,Intel,0.0,1.0,0.0
506,Intel,0.0,1.0,0.0
507,Intel,0.0,1.0,0.0
508,Intel,0.0,1.0,0.0
509,Intel,0.0,1.0,0.0
510,Intel,0.0,1.0,0.0
511,Intel,0.0,1.0,0.0
512,Intel,0.0,1.0,0.0
513,Intel,0.0,1.0,0.0
514,Intel,0.0,1.0,0.0
515,Intel,0.0,1.0,0.0
516,Intel,0.0,1.0,0.0
517,Intel,0.0,1.0,0.0
518,Intel,0.0,1.0,0.0
519,Intel,0.0,1.0,0.0
520,Intel,0.0,1.0,0.0
521,Intel,0.0,1.0,0.0
522,Intel,0.0,1.0,0.0
523,Intel,0.0,1.0,0.0
524,Intel,0.0,1.0,0.0
525,Intel,0.0,1.0,0.0
526,Intel,0.0,1.0,0.0
527,Intel,0.0,1.0,0.0
528,Intel,0.0,1.0,0.0
529,Intel,0.0,1.0,0.0
530,Intel,0.0,1.0,0.0
531,Intel,0.0,1.0,0.0
532,Intel,0.0,1.0,0.0
533,Intel,0.0,1.0,0.0
534,Intel,0.0,1.0,0.0
535,Intel,0.0,1.0,0.0
536,Intel,0.0,1.0,0.0
537,Intel,0.0,1.0,0.0
538,Intel,0.0,1.0,0.0
539,Intel,0.0,1.0,0.0
540,Intel,0.0,1.0,0.0
541,Intel,0.0,1.0,0.0
542,Intel,0.0,1.0,0.0
543,Intel,0.0,1.0,0.0
544,Intel,0.0,1.0,0.0
545,Intel,0.0,1.0,0.0
546,Intel,0.0,1.0,0.0
547,Intel,0.0,1.0,0.0
548,Intel,0.0,1.0,0.0
549,Intel,0.0,1.0,0.0
550,Intel,0.0,1.0,0.0
551,Intel,0.0,1.0,0.0
552,Intel,0.0,1.0,0.0
553,Intel,0.0,1.0,0.0
554,Intel,0.0,1.0,0.0
555,Intel,0.0,1.0,0.0
556,Intel,0.0,1.0,0.0
557,Intel,0.0,1.0,0.0
558,Intel,0.0,1.0,0.0
559,Intel,0.0,1.0,0.0
560,Intel,0.0,1.0,0.0
561,Intel,0.0,1.0,0.0
562,Intel,0.0,1.0,0.0
563,Intel,0.0,1.0,0.0
564,Intel,0.0,1.0,0.0
565,Intel,0.0,1.0,0.0
566,Intel,0.0,1.0,0.0
567,Intel,0.0,1.0,0.0
568,Intel,0.0,1.0,0.0
569,Intel,0.0,1.0,0.0
570,Intel,0.0,1.0,0.0
571,Intel,0.0,1.0,0.0
572,Intel,0.0,1.0,0.0
573,Intel,0.0,1.0,0.0
574,Intel,0.0,1.0,0.0
575,Intel,0.0,1.0,0.0
