,Brand,Processor_brand,Processor_name,Processor_gnrtn,Ram_gb,Ram_type,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Rating,Number of ratings,Number of reviews
189,Lenovo,Intel,Celeron Dual,Not Available,4,LPDDR4X,512,512,Windows,64,0,Casual,1,No,No,25990,3,84,16
190,Lenovo,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,16990,3,414,54
191,Lenovo,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,24990,2,70,16
192,acer,Intel,Core i5,Not Available,8,DDR5,512,512,Windows,32,4,Casual,1,No,No,50990,4,10966,1185
193,acer,Intel,Core i5,Not Available,8,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,119990,4,1,1
194,acer,Intel,Core i5,10th,8,LPDDR4,512,512,DOS,32,0,Casual,1,No,No,94190,4,31,6
195,ASUS,Intel,Core i5,10th,8,LPDDR4,512,512,DOS,32,4,Casual,1,No,No,106167,4,1881,241
196,DELL,Intel,Core i5,10th,8,LPDDR4,512,512,DOS,32,4,Casual,1,No,No,68090,1,23,4
197,DELL,Intel,Core i5,10th,8,LPDDR4,512,512,DOS,32,0,ThinNlight,1,No,No,139990,3,0,0
198,HP,Intel,Core i5,10th,8,LPDDR4,512,512,DOS,32,0,ThinNlight,1,No,No,55990,4,818,109
199,HP,Intel,Core i5,10th,8,LPDDR4,512,512,DOS,32,4,Casual,1,No,No,102551,3,0,0
200,Lenovo,Intel,Core i5,10th,8,LPDDR4,512,512,DOS,32,2,Casual,1,No,No,46990,4,4428,569
201,HP,Intel,Core i5,8th,8,DDR4,128,0,Windows,64,0,ThinNlight,1,No,No,76012,4,129,16
202,Lenovo,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,49490,4,365,35
203,acer,Intel,Core i5,7th,8,DDR3,256,0,Windows,64,0,ThinNlight,1,No,Yes,86867,4,39,3
204,ASUS,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,48990,3,0,0
205,DELL,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,55990,3,3,0
206,acer,Intel,Core i5,8th,8,DDR3,256,0,Windows,64,0,ThinNlight,1,Yes,Yes,81998,4,14,3
207,HP,Intel,Core i5,8th,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,136590,3,0,0
208,acer,Intel,Core i5,8th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,59490,3,33,7
209,ASUS,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,49800,3,0,0
210,Lenovo,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,61999,2,4,0
211,HP,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,54990,4,116,15
212,HP,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,53990,4,206,17
213,Lenovo,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,2,No,Yes,52990,4,300,24
