,Brand,Processor_brand,Processor_name,Ram_gb,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Number of ratings,Number of reviews
205,DELL,Intel,Core i5,8,256,0,Windows,64,0,ThinNlight,1,0,0,55990,3,0
206,acer,Intel,Core i5,8,256,0,Windows,64,0,ThinNlight,1,1,1,81998,14,3
207,HP,Intel,Core i5,8,256,0,Windows,64,0,Casual,1,1,1,136590,0,0
208,acer,Intel,Core i5,8,256,0,Windows,64,0,ThinNlight,1,0,0,59490,33,7
209,ASUS,Intel,Core i5,8,256,0,Windows,64,0,ThinNlight,1,0,0,49800,0,0
210,Lenovo,Intel,Core i5,8,256,0,Windows,64,0,Casual,1,0,1,61999,4,0
211,HP,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,54990,116,15
212,HP,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,53990,206,17
213,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,Casual,2,0,1,52990,300,24
214,HP,Intel,Core i5,16,512,0,Windows,64,0,ThinNlight,1,0,1,67990,108,6
215,ASUS,Intel,Core i5,8,512,0,Windows,64,4,Gaming,1,0,0,57990,3712,412
216,Lenovo,Intel,Core i5,16,512,0,Windows,64,0,ThinNlight,1,0,1,62300,825,95
217,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,52990,0,0
218,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,2,0,1,51990,85,4
219,Lenovo,Intel,Core i5,16,512,0,Windows,64,0,ThinNlight,1,0,0,61990,56,7
220,ASUS,Intel,Core i5,8,512,0,Windows,32,0,Casual,1,1,1,63990,10,1
221,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,Casual,1,0,1,65990,17,4
222,acer,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,52990,155,20
223,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,49990,0,0
224,ASUS,Intel,Core i5,8,512,0,Windows,64,4,Gaming,1,0,0,71990,91,17
225,ASUS,Intel,Core i5,8,512,0,Windows,64,0,Casual,1,0,0,47990,35,2
226,Lenovo,Intel,Core i5,8,512,0,Windows,32,0,ThinNlight,2,0,1,48490,126,13
227,ASUS,Intel,Core i5,8,512,0,Windows,64,4,Gaming,1,0,0,72990,74,10
228,MSI,Intel,Core i5,16,512,0,Windows,64,4,Casual,2,0,0,76990,75,17
229,ASUS,Intel,Core i5,16,512,0,Windows,64,6,Gaming,1,0,1,89990,124,17
230,MSI,Intel,Core i5,8,512,0,Windows,64,4,Casual,2,0,0,59990,1597,228
231,ASUS,Intel,Core i5,8,512,0,Windows,64,4,Gaming,1,0,1,65990,3850,378
232,DELL,Intel,Core i5,8,512,0,Windows,64,0,Casual,1,1,0,71990,7,1
233,DELL,Intel,Core i5,8,512,0,Windows,64,0,Casual,1,1,0,71890,3,0
234,Lenovo,Intel,Core i5,16,512,0,Windows,64,0,ThinNlight,1,0,0,64990,0,0
235,ASUS,Intel,Core i5,16,512,0,Windows,64,0,Casual,1,0,0,65990,0,0
236,HP,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,55999,5,1
237,ASUS,Intel,Core i5,16,512,0,Windows,64,4,Casual,1,0,0,73490,213,45
238,HP,Intel,Core i5,16,512,0,Windows,64,0,ThinNlight,1,0,1,74490,10,0
239,HP,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,1,58340,69,6
240,acer,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,55999,6,0
241,DELL,Intel,Core i5,16,512,0,Windows,64,0,ThinNlight,1,0,0,67990,93,9
242,ASUS,Intel,Core i5,16,512,0,Windows,64,0,Casual,1,0,0,59990,11,2
243,ASUS,Intel,Core i5,16,512,0,Windows,64,6,Casual,1,0,1,82990,262,31
244,DELL,Intel,Core i5,8,512,0,Windows,64,2,Casual,1,0,1,64190,0,0
245,DELL,Intel,Core i5,16,512,0,Windows,64,0,ThinNlight,1,0,0,70090,5,1
246,ASUS,Intel,Core i5,8,512,0,Windows,64,2,ThinNlight,1,0,0,49990,45,3
247,MSI,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,55490,8,1
248,HP,Intel,Core i5,8,512,0,Windows,64,0,Casual,1,1,0,97990,3,1
249,ASUS,Intel,Core i5,8,512,0,Windows,64,4,Gaming,1,0,1,54990,1681,227
250,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,1,59990,37,2
251,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,1,53990,61,2
252,HP,Intel,Core i5,16,512,0,Windows,64,0,ThinNlight,1,0,1,66999,17,1
253,acer,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,1,60990,17,1
254,ASUS,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,1,47990,1625,152
255,HP,Intel,Core i5,8,512,0,Windows,32,0,ThinNlight,1,0,1,59999,4,1
256,DELL,Intel,Core i5,16,512,0,Windows,64,4,Casual,1,0,0,79990,0,0
257,ASUS,Intel,Core i5,8,512,0,Windows,64,4,Gaming,1,0,0,63990,0,0
258,HP,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,1,63990,17,1
259,ASUS,Intel,Core i5,16,512,0,Windows,64,0,Casual,1,0,0,59990,0,0
260,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,55990,0,0
261,HP,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,1,63990,3,0
